id,company_id/id,code,name,type,user_type/id,parent_id/id,currency_id/id
__account__.account_account_H315,helom.base_company,322100,Combustibles,Regular,l10n_fr.account_type_stocks,__account__.account_account_H314,
__account__.account_account_H316,helom.base_company,322200,Produits d'entretien,Regular,l10n_fr.account_type_stocks,__account__.account_account_H314,
__account__.account_account_H317,helom.base_company,322300,Fournitures d'atelier et d usine,Regular,l10n_fr.account_type_stocks,__account__.account_account_H314,
__account__.account_account_H318,helom.base_company,322400,Fournitures de magasin,Regular,l10n_fr.account_type_stocks,__account__.account_account_H314,
__account__.account_account_H319,helom.base_company,322500,Fournitures de bureau,Regular,l10n_fr.account_type_stocks,__account__.account_account_H314,
__account__.account_account_H320,helom.base_company,326000,Emballages,View,l10n_fr.account_type_view,__account__.account_account_H310,
__account__.account_account_H321,helom.base_company,326100,Emballages perdus,Regular,l10n_fr.account_type_stocks,__account__.account_account_H320,
__account__.account_account_H322,helom.base_company,326500,Emballages récupérables non identifiables,Regular,l10n_fr.account_type_stocks,__account__.account_account_H320,
__account__.account_account_H323,helom.base_company,326700,Emballages à usage mixte,Regular,l10n_fr.account_type_stocks,__account__.account_account_H320,
__account__.account_account_H324,helom.base_company,33,En-cours de production de biens,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H325,helom.base_company,331000,Produits en cours,View,l10n_fr.account_type_view,__account__.account_account_H324,
__account__.account_account_H326,helom.base_company,331100,Produit en cours P 1,Regular,l10n_fr.account_type_stocks,__account__.account_account_H325,
__account__.account_account_H327,helom.base_company,331200,Produit en cours P 2,Regular,l10n_fr.account_type_stocks,__account__.account_account_H325,
__account__.account_account_H328,helom.base_company,335000,Travaux en cours,View,l10n_fr.account_type_view,__account__.account_account_H324,
__account__.account_account_H329,helom.base_company,335100,Travaux en cours T 1,Regular,l10n_fr.account_type_stocks,__account__.account_account_H328,
__account__.account_account_H330,helom.base_company,335200,Travaux en cours T 2,Regular,l10n_fr.account_type_stocks,__account__.account_account_H328,
__account__.account_account_H331,helom.base_company,34,En-cours de production de services,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H332,helom.base_company,341000,Études en cours,View,l10n_fr.account_type_view,__account__.account_account_H331,
__account__.account_account_H333,helom.base_company,341100,Études en cours E 1,Regular,l10n_fr.account_type_stocks,__account__.account_account_H332,
__account__.account_account_H334,helom.base_company,341200,Études en cours E 2,Regular,l10n_fr.account_type_stocks,__account__.account_account_H332,
__account__.account_account_H335,helom.base_company,345000,Prestations de services en cours,View,l10n_fr.account_type_view,__account__.account_account_H331,
__account__.account_account_H336,helom.base_company,345100,Prestations de services S 1,Regular,l10n_fr.account_type_stocks,__account__.account_account_H335,
__account__.account_account_H337,helom.base_company,345200,Prestations de services S 2,Regular,l10n_fr.account_type_stocks,__account__.account_account_H335,
__account__.account_account_H338,helom.base_company,35,Stocks de produits,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H339,helom.base_company,351000,Produits intermédiaires,View,l10n_fr.account_type_view,__account__.account_account_H338,
__account__.account_account_H340,helom.base_company,351100,Produits intermédiaires (ou groupe) A,Regular,l10n_fr.account_type_stocks,__account__.account_account_H339,
__account__.account_account_H341,helom.base_company,351200,Produits intermédiaires (ou groupe) B,Regular,l10n_fr.account_type_stocks,__account__.account_account_H339,
